"paper","year","dc_label","da_label"
"http://orkg.org/orkg/resource/R220538","2013","experiment","analysis"
"http://orkg.org/orkg/resource/R220538","2013","experiment","analysis"
"http://orkg.org/orkg/resource/R220538","2013","experiment","analysis"
"http://orkg.org/orkg/resource/R220583","2013","secondary research","analysis"
"http://orkg.org/orkg/resource/R220605","2013","case study","analysis"
"http://orkg.org/orkg/resource/R220611","2013","case study","analysis"
"http://orkg.org/orkg/resource/R220618","2013","experiment","analysis"
"http://orkg.org/orkg/resource/R220624","2013","study","no analysis"
"http://orkg.org/orkg/resource/R220629","2013","experiment","analysis"
"http://orkg.org/orkg/resource/R220633","2013","secondary research","analysis"
"http://orkg.org/orkg/resource/R220633","2013","experiment","analysis"
"http://orkg.org/orkg/resource/R220643","2013","interview","analysis"
"http://orkg.org/orkg/resource/R220798","2013","interview","analysis"
"http://orkg.org/orkg/resource/R220798","2013","study","analysis"
"http://orkg.org/orkg/resource/R220810","2013","secondary research","analysis"
"http://orkg.org/orkg/resource/R220831","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R220838","2012","case study","analysis"
"http://orkg.org/orkg/resource/R220845","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R220845","2012","survey","analysis"
"http://orkg.org/orkg/resource/R220858","2012","interview","analysis"
"http://orkg.org/orkg/resource/R220874","2012","case study","analysis"
"http://orkg.org/orkg/resource/R220881","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R220898","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R221137","2012","case study","analysis"
"http://orkg.org/orkg/resource/R221147","2012","case study","analysis"
"http://orkg.org/orkg/resource/R221156","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R221163","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R221169","2012","case study","no analysis"
"http://orkg.org/orkg/resource/R221176","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R221183","2012","case study","analysis"
"http://orkg.org/orkg/resource/R221187","2012","case study","analysis"
"http://orkg.org/orkg/resource/R221801","2012","survey","analysis"
"http://orkg.org/orkg/resource/R221801","2012","survey","analysis"
"http://orkg.org/orkg/resource/R221801","2012","survey","analysis"
"http://orkg.org/orkg/resource/R221821","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R221838","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R222366","2012","case study","analysis"
"http://orkg.org/orkg/resource/R222375","2012","experiment","analysis"
"http://orkg.org/orkg/resource/R225574","2012","study","analysis"
"http://orkg.org/orkg/resource/R225580","2012","case study","analysis"
"http://orkg.org/orkg/resource/R225589","2012","case study","analysis"
"http://orkg.org/orkg/resource/R227465","2022","experiment","analysis"
"http://orkg.org/orkg/resource/R227482","2022","interview","analysis"
"http://orkg.org/orkg/resource/R227501","2022","study","analysis"
"http://orkg.org/orkg/resource/R227514","2022","secondary research","analysis"
"http://orkg.org/orkg/resource/R227514","2022","experiment","analysis"
"http://orkg.org/orkg/resource/R227533","2022","experiment","analysis"
"http://orkg.org/orkg/resource/R227551","2022","survey","analysis"
"http://orkg.org/orkg/resource/R227551","2022","experiment","analysis"
"http://orkg.org/orkg/resource/R228189","2022","survey","analysis"
"http://orkg.org/orkg/resource/R228211","2022","experiment","analysis"
"http://orkg.org/orkg/resource/R228229","2022","secondary research","analysis"
"http://orkg.org/orkg/resource/R228262","2022","secondary research","analysis"
"http://orkg.org/orkg/resource/R229273","2022","secondary research","analysis"
"http://orkg.org/orkg/resource/R229273","2022","case study","analysis"
"http://orkg.org/orkg/resource/R229316","2022","secondary research","analysis"
"http://orkg.org/orkg/resource/R229316","2022","experiment","analysis"
"http://orkg.org/orkg/resource/R229340","2022","secondary research","analysis"
"http://orkg.org/orkg/resource/R229340","2022","interview","analysis"
"http://orkg.org/orkg/resource/R229375","2022","secondary research","analysis"
"http://orkg.org/orkg/resource/R249016","2011","case study","analysis"
"http://orkg.org/orkg/resource/R249021","2011","experiment","analysis"
"http://orkg.org/orkg/resource/R249030","2011","case study","analysis"
"http://orkg.org/orkg/resource/R254495","2011","interview","analysis"
"http://orkg.org/orkg/resource/R254495","2011","survey","analysis"
"http://orkg.org/orkg/resource/R254508","2011","interview","analysis"
"http://orkg.org/orkg/resource/R254508","2011","study","analysis"
"http://orkg.org/orkg/resource/R254508","2011","survey","analysis"
"http://orkg.org/orkg/resource/R254521","2011","study","analysis"
"http://orkg.org/orkg/resource/R254521","2011","action research","analysis"
"http://orkg.org/orkg/resource/R256580","2011","interview","analysis"
"http://orkg.org/orkg/resource/R263000","2011","case study","analysis"
"http://orkg.org/orkg/resource/R264011","2011","case study","analysis"
"http://orkg.org/orkg/resource/R265006","2011","experiment","analysis"
"http://orkg.org/orkg/resource/R265019","2011","experiment","analysis"
"http://orkg.org/orkg/resource/R276000","2011","secondary research","analysis"
"http://orkg.org/orkg/resource/R276009","2011","case study","analysis"
"http://orkg.org/orkg/resource/R276015","2011","study","analysis"
"http://orkg.org/orkg/resource/R276024","2011","case study","analysis"
"http://orkg.org/orkg/resource/R276031","2011","case study","analysis"
"http://orkg.org/orkg/resource/R276045","2011","experiment","analysis"
"http://orkg.org/orkg/resource/R276051","2011","experiment","analysis"
"http://orkg.org/orkg/resource/R279079","2010","experiment","analysis"
"http://orkg.org/orkg/resource/R279086","2010","experiment","analysis"
"http://orkg.org/orkg/resource/R279109","2010","experiment","analysis"
"http://orkg.org/orkg/resource/R279116","2010","study","analysis"
"http://orkg.org/orkg/resource/R279116","2010","interview","analysis"
"http://orkg.org/orkg/resource/R279126","2010","case study","analysis"
"http://orkg.org/orkg/resource/R279136","2010","study","no analysis"
"http://orkg.org/orkg/resource/R279141","2010","interview","analysis"
"http://orkg.org/orkg/resource/R279151","2010","interview","analysis"
"http://orkg.org/orkg/resource/R159690","2011","survey","analysis"
"http://orkg.org/orkg/resource/R280329","2010","study","analysis"
"http://orkg.org/orkg/resource/R280335","2010","survey","analysis"
"http://orkg.org/orkg/resource/R280335","2010","interview","analysis"
"http://orkg.org/orkg/resource/R280347","2010","survey","analysis"
"http://orkg.org/orkg/resource/R280375","2010","case study","analysis"
"http://orkg.org/orkg/resource/R280412","2010","case study","analysis"
"http://orkg.org/orkg/resource/R280486","2010","study","analysis"
"http://orkg.org/orkg/resource/R280481","2010","case study","analysis"
"http://orkg.org/orkg/resource/R280498","2010","experiment","analysis"
"http://orkg.org/orkg/resource/R280498","2010","experiment","analysis"
"http://orkg.org/orkg/resource/R280511","2010","experiment","analysis"
"http://orkg.org/orkg/resource/R280511","2010","survey","analysis"
"http://orkg.org/orkg/resource/R280521","2010","case study","analysis"
"http://orkg.org/orkg/resource/R280529","2010","case study","no analysis"
"http://orkg.org/orkg/resource/R280738","2009","experiment","analysis"
"http://orkg.org/orkg/resource/R280747","2009","secondary research","analysis"
"http://orkg.org/orkg/resource/R280758","2009","experiment","analysis"
"http://orkg.org/orkg/resource/R280765","2009","experiment","analysis"
"http://orkg.org/orkg/resource/R280765","2009","experiment","analysis"
"http://orkg.org/orkg/resource/R280793","2009","case study","no analysis"
"http://orkg.org/orkg/resource/R280798","2009","interview","analysis"
"http://orkg.org/orkg/resource/R280798","2009","case study","analysis"
"http://orkg.org/orkg/resource/R280811","2009","case study","analysis"
"http://orkg.org/orkg/resource/R280818","2009","case study","analysis"
"http://orkg.org/orkg/resource/R281162","2009","case study","no analysis"
"http://orkg.org/orkg/resource/R281166","2009","case study","analysis"
"http://orkg.org/orkg/resource/R281172","2009","survey","analysis"
"http://orkg.org/orkg/resource/R281188","2009","study","analysis"
"http://orkg.org/orkg/resource/R281194","2009","experiment","analysis"
"http://orkg.org/orkg/resource/R194093","2020","case study","analysis"
"http://orkg.org/orkg/resource/R195982","2017","case study","analysis"
"http://orkg.org/orkg/resource/R195218","2018","study","analysis"
"http://orkg.org/orkg/resource/R195767","2017","study","analysis"
"http://orkg.org/orkg/resource/R194884","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R220798","2013","case study","analysis"
"http://orkg.org/orkg/resource/R211106","2014","study","analysis"
"http://orkg.org/orkg/resource/R211106","2014","study","analysis"
"http://orkg.org/orkg/resource/R227482","2022","case study","analysis"
"http://orkg.org/orkg/resource/R227482","2022","study","analysis"
"http://orkg.org/orkg/resource/R228189","2022","experiment","analysis"
"http://orkg.org/orkg/resource/R228229","2022","study","analysis"
"http://orkg.org/orkg/resource/R229273","2022","experiment","analysis"
"http://orkg.org/orkg/resource/R192398","2021","survey","analysis"
"http://orkg.org/orkg/resource/R192398","2021","study","analysis"
"http://orkg.org/orkg/resource/R283069","2009","case study","analysis"
"http://orkg.org/orkg/resource/R283080","2009","experiment","analysis"
"http://orkg.org/orkg/resource/R283098","2008","case study","analysis"
"http://orkg.org/orkg/resource/R283106","2008","experiment","analysis"
"http://orkg.org/orkg/resource/R283077","2009","case study","analysis"
"http://orkg.org/orkg/resource/R193022","2021","case study","analysis"
"http://orkg.org/orkg/resource/R193035","2021","study","analysis"
"http://orkg.org/orkg/resource/R193035","2021","study","analysis"
"http://orkg.org/orkg/resource/R193308","2021","interview","analysis"
"http://orkg.org/orkg/resource/R193336","2021","study","analysis"
"http://orkg.org/orkg/resource/R193818","2021","study","analysis"
"http://orkg.org/orkg/resource/R193849","2021","survey","analysis"
"http://orkg.org/orkg/resource/R193849","2021","interview","analysis"
"http://orkg.org/orkg/resource/R193371","2020","study","analysis"
"http://orkg.org/orkg/resource/R193385","2020","survey","analysis"
"http://orkg.org/orkg/resource/R193406","2020","case study","analysis"
"http://orkg.org/orkg/resource/R193406","2020","study","analysis"
"http://orkg.org/orkg/resource/R193406","2020","survey","analysis"
"http://orkg.org/orkg/resource/R193920","2020","study","analysis"
"http://orkg.org/orkg/resource/R193920","2020","study","analysis"
"http://orkg.org/orkg/resource/R193467","2020","secondary research","analysis"
"http://orkg.org/orkg/resource/R193467","2020","study","analysis"
"http://orkg.org/orkg/resource/R193490","2020","experiment","analysis"
"http://orkg.org/orkg/resource/R285776","2008","experiment","analysis"
"http://orkg.org/orkg/resource/R285781","2008","case study","analysis"
"http://orkg.org/orkg/resource/R285790","2008","survey","analysis"
"http://orkg.org/orkg/resource/R285790","2008","case study","analysis"
"http://orkg.org/orkg/resource/R285808","2008","case study","no analysis"
"http://orkg.org/orkg/resource/R285816","2008","case study","analysis"
"http://orkg.org/orkg/resource/R285816","2008","experiment","analysis"
"http://orkg.org/orkg/resource/R194054","2020","case study","analysis"
"http://orkg.org/orkg/resource/R194054","2020","study","analysis"
"http://orkg.org/orkg/resource/R194114","2020","survey","analysis"
"http://orkg.org/orkg/resource/R194125","2020","study","analysis"
"http://orkg.org/orkg/resource/R194125","2020","case study","analysis"
"http://orkg.org/orkg/resource/R194139","2020","secondary research","analysis"
"http://orkg.org/orkg/resource/R194139","2020","case study","analysis"
"http://orkg.org/orkg/resource/R194641","2020","secondary research","analysis"
"http://orkg.org/orkg/resource/R211361","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211361","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211380","2014","study","analysis"
"http://orkg.org/orkg/resource/R288808","2007","case study","analysis"
"http://orkg.org/orkg/resource/R369142","2007","case study","analysis"
"http://orkg.org/orkg/resource/R369238","2007","experiment","analysis"
"http://orkg.org/orkg/resource/R369339","2007","interview","analysis"
"http://orkg.org/orkg/resource/R369339","2007","study","analysis"
"http://orkg.org/orkg/resource/R369483","2007","interview","analysis"
"http://orkg.org/orkg/resource/R369602","2007","case study","no analysis"
"http://orkg.org/orkg/resource/R369685","2007","case study","analysis"
"http://orkg.org/orkg/resource/R220538","2013","study","analysis"
"http://orkg.org/orkg/resource/R220633","2013","interview","analysis"
"http://orkg.org/orkg/resource/R220881","2012","study","analysis"
"http://orkg.org/orkg/resource/R220881","2012","case study","analysis"
"http://orkg.org/orkg/resource/R254495","2011","case study","analysis"
"http://orkg.org/orkg/resource/R254508","2011","case study","analysis"
"http://orkg.org/orkg/resource/R254508","2011","study","analysis"
"http://orkg.org/orkg/resource/R554452","2007","interview","analysis"
"http://orkg.org/orkg/resource/R554460","2007","case study","analysis"
"http://orkg.org/orkg/resource/R554468","2007","case study","analysis"
"http://orkg.org/orkg/resource/R554861","2007","case study","analysis"
"http://orkg.org/orkg/resource/R555217","2007","study","analysis"
"http://orkg.org/orkg/resource/R555710","2007","experiment","analysis"
"http://orkg.org/orkg/resource/R556363","2006","case study","analysis"
"http://orkg.org/orkg/resource/R557163","2006","study","analysis"
"http://orkg.org/orkg/resource/R558201","2006","experiment","analysis"
"http://orkg.org/orkg/resource/R558201","2006","case study","analysis"
"http://orkg.org/orkg/resource/R256580","2011","study","analysis"
"http://orkg.org/orkg/resource/R265019","2011","survey","analysis"
"http://orkg.org/orkg/resource/R276031","2011","study","analysis"
"http://orkg.org/orkg/resource/R159690","2011","case study","analysis"
"http://orkg.org/orkg/resource/R279079","2010","case study","analysis"
"http://orkg.org/orkg/resource/R279086","2010","survey","analysis"
"http://orkg.org/orkg/resource/R558790","2006","case study","analysis"
"http://orkg.org/orkg/resource/R576739","2006","experiment","analysis"
"http://orkg.org/orkg/resource/R576757","2006","study","analysis"
"http://orkg.org/orkg/resource/R576765","2006","study","analysis"
"http://orkg.org/orkg/resource/R576776","2006","case study","analysis"
"http://orkg.org/orkg/resource/R158044","2006","experiment","no analysis"
"http://orkg.org/orkg/resource/R576793","2006","case study","analysis"
"http://orkg.org/orkg/resource/R279141","2010","case study","analysis"
"http://orkg.org/orkg/resource/R279141","2010","secondary research","analysis"
"http://orkg.org/orkg/resource/R279151","2010","secondary research","analysis"
"http://orkg.org/orkg/resource/R192345","2021","experiment","analysis"
"http://orkg.org/orkg/resource/R192386","2021","secondary research","analysis"
"http://orkg.org/orkg/resource/R192398","2021","secondary research","analysis"
"http://orkg.org/orkg/resource/R192428","2021","experiment","analysis"
"http://orkg.org/orkg/resource/R192445","2021","experiment","analysis"
"http://orkg.org/orkg/resource/R193025","2021","experiment","analysis"
"http://orkg.org/orkg/resource/R193035","2021","secondary research","analysis"
"http://orkg.org/orkg/resource/R193044","2021","experiment","analysis"
"http://orkg.org/orkg/resource/R193070","2021","interview","analysis"
"http://orkg.org/orkg/resource/R193089","2021","interview","analysis"
"http://orkg.org/orkg/resource/R193089","2021","survey","analysis"
"http://orkg.org/orkg/resource/R193108","2021","interview","analysis"
"http://orkg.org/orkg/resource/R193295","2021","survey","analysis"
"http://orkg.org/orkg/resource/R193308","2021","experiment","analysis"
"http://orkg.org/orkg/resource/R193308","2021","experiment","analysis"
"http://orkg.org/orkg/resource/R193330","2021","secondary research","analysis"
"http://orkg.org/orkg/resource/R193341","2021","study","analysis"
"http://orkg.org/orkg/resource/R193357","2021","secondary research","analysis"
"http://orkg.org/orkg/resource/R193371","2020","case study","analysis"
"http://orkg.org/orkg/resource/R193385","2020","interview","analysis"
"http://orkg.org/orkg/resource/R193406","2020","interview","analysis"
"http://orkg.org/orkg/resource/R193418","2020","survey","analysis"
"http://orkg.org/orkg/resource/R193441","2020","case study","analysis"
"http://orkg.org/orkg/resource/R193473","2020","study","no analysis"
"http://orkg.org/orkg/resource/R193481","2020","secondary research","analysis"
"http://orkg.org/orkg/resource/R193490","2020","study","analysis"
"http://orkg.org/orkg/resource/R193022","2021","secondary research","analysis"
"http://orkg.org/orkg/resource/R193818","2021","case study","analysis"
"http://orkg.org/orkg/resource/R193828","2021","secondary research","analysis"
"http://orkg.org/orkg/resource/R193849","2021","case study","analysis"
"http://orkg.org/orkg/resource/R193866","2021","secondary research","analysis"
"http://orkg.org/orkg/resource/R193898","2020","experiment","analysis"
"http://orkg.org/orkg/resource/R193467","2020","secondary research","analysis"
"http://orkg.org/orkg/resource/R193929","2020","study","analysis"
"http://orkg.org/orkg/resource/R194054","2020","study","analysis"
"http://orkg.org/orkg/resource/R194084","2020","case study","analysis"
"http://orkg.org/orkg/resource/R194114","2020","interview","analysis"
"http://orkg.org/orkg/resource/R194139","2020","survey","analysis"
"http://orkg.org/orkg/resource/R194237","2019","survey","analysis"
"http://orkg.org/orkg/resource/R194253","2019","secondary research","analysis"
"http://orkg.org/orkg/resource/R194281","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R194317","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R194345","2019","study","analysis"
"http://orkg.org/orkg/resource/R194360","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R194373","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R194401","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R194414","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R194431","2019","survey","analysis"
"http://orkg.org/orkg/resource/R194445","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R194458","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R194474","2019","interview","analysis"
"http://orkg.org/orkg/resource/R193798","2021","experiment","analysis"
"http://orkg.org/orkg/resource/R194610","2019","experiment","analysis"
"http://orkg.org/orkg/resource/R193925","2020","experiment","analysis"
"http://orkg.org/orkg/resource/R194641","2020","secondary research","analysis"
"http://orkg.org/orkg/resource/R194686","2018","interview","analysis"
"http://orkg.org/orkg/resource/R194698","2018","interview","analysis"
"http://orkg.org/orkg/resource/R194125","2020","interview","analysis"
"http://orkg.org/orkg/resource/R194607","2019","secondary research","analysis"
"http://orkg.org/orkg/resource/R194895","2019","case study","analysis"
"http://orkg.org/orkg/resource/R194922","2018","case study","analysis"
"http://orkg.org/orkg/resource/R194932","2018","experiment","analysis"
"http://orkg.org/orkg/resource/R194954","2018","interview","analysis"
"http://orkg.org/orkg/resource/R194954","2018","survey","analysis"
"http://orkg.org/orkg/resource/R195005","2018","secondary research","analysis"
"http://orkg.org/orkg/resource/R195023","2018","secondary research","no analysis"
"http://orkg.org/orkg/resource/R195113","2018","case study","analysis"
"http://orkg.org/orkg/resource/R76818","2018","experiment","analysis"
"http://orkg.org/orkg/resource/R195144","2018","interview","analysis"
"http://orkg.org/orkg/resource/R195153","2018","survey","analysis"
"http://orkg.org/orkg/resource/R195153","2018","interview","analysis"
"http://orkg.org/orkg/resource/R195153","2018","study","analysis"
"http://orkg.org/orkg/resource/R195153","2018","study","analysis"
"http://orkg.org/orkg/resource/R195182","2018","experiment","analysis"
"http://orkg.org/orkg/resource/R195201","2018","survey","analysis"
"http://orkg.org/orkg/resource/R195224","2018","interview","analysis"
"http://orkg.org/orkg/resource/R76792","2017","secondary research","analysis"
"http://orkg.org/orkg/resource/R108199","2017","secondary research","analysis"
"http://orkg.org/orkg/resource/R113008","2017","study","analysis"
"http://orkg.org/orkg/resource/R195519","2017","interview","analysis"
"http://orkg.org/orkg/resource/R113067","2017","secondary research","analysis"
"http://orkg.org/orkg/resource/R195551","2017","interview","analysis"
"http://orkg.org/orkg/resource/R195551","2017","survey","analysis"
"http://orkg.org/orkg/resource/R195578","2017","interview","analysis"
"http://orkg.org/orkg/resource/R195587","2017","survey","analysis"
"http://orkg.org/orkg/resource/R195597","2017","secondary research","analysis"
"http://orkg.org/orkg/resource/R195692","2017","experiment","analysis"
"http://orkg.org/orkg/resource/R195713","2017","experiment","analysis"
"http://orkg.org/orkg/resource/R195728","2017","secondary research","analysis"
"http://orkg.org/orkg/resource/R195728","2017","survey","analysis"
"http://orkg.org/orkg/resource/R195749","2017","case study","analysis"
"http://orkg.org/orkg/resource/R195789","2017","experiment","analysis"
"http://orkg.org/orkg/resource/R195806","2017","interview","analysis"
"http://orkg.org/orkg/resource/R195857","2017","survey","analysis"
"http://orkg.org/orkg/resource/R195866","2017","survey","analysis"
"http://orkg.org/orkg/resource/R195679","2017","survey","analysis"
"http://orkg.org/orkg/resource/R195849","2017","study","analysis"
"http://orkg.org/orkg/resource/R195986","2017","experiment","analysis"
"http://orkg.org/orkg/resource/R195998","2017","case study","analysis"
"http://orkg.org/orkg/resource/R196009","2017","case study","analysis"
"http://orkg.org/orkg/resource/R196021","2017","survey","analysis"
"http://orkg.org/orkg/resource/R196021","2017","experiment","analysis"
"http://orkg.org/orkg/resource/R196033","2017","experiment","analysis"
"http://orkg.org/orkg/resource/R196046","2017","case study","analysis"
"http://orkg.org/orkg/resource/R196046","2017","survey","analysis"
"http://orkg.org/orkg/resource/R196070","2017","interview","analysis"
"http://orkg.org/orkg/resource/R195124","2018","survey","no analysis"
"http://orkg.org/orkg/resource/R195129","2018","survey","analysis"
"http://orkg.org/orkg/resource/R112434","2017","secondary research","analysis"
"http://orkg.org/orkg/resource/R194974","2018","case study","analysis"
"http://orkg.org/orkg/resource/R193920","2020","secondary research","analysis"
"http://orkg.org/orkg/resource/R197609","2017","interview","analysis"
"http://orkg.org/orkg/resource/R197609","2017","study","analysis"
"http://orkg.org/orkg/resource/R198663","2016","secondary research","analysis"
"http://orkg.org/orkg/resource/R198673","2016","experiment","analysis"
"http://orkg.org/orkg/resource/R198689","2016","study","analysis"
"http://orkg.org/orkg/resource/R198689","2016","interview","analysis"
"http://orkg.org/orkg/resource/R198689","2016","survey","analysis"
"http://orkg.org/orkg/resource/R198706","2016","case study","analysis"
"http://orkg.org/orkg/resource/R198724","2016","interview","analysis"
"http://orkg.org/orkg/resource/R198797","2016","interview","analysis"
"http://orkg.org/orkg/resource/R111988","2016","secondary research","analysis"
"http://orkg.org/orkg/resource/R111988","2016","experiment","analysis"
"http://orkg.org/orkg/resource/R198833","2016","secondary research","analysis"
"http://orkg.org/orkg/resource/R198856","2016","interview","analysis"
"http://orkg.org/orkg/resource/R198877","2016","interview","analysis"
"http://orkg.org/orkg/resource/R74547","2016","experiment","analysis"
"http://orkg.org/orkg/resource/R198917","2016","experiment","analysis"
"http://orkg.org/orkg/resource/R78432","2016","experiment","analysis"
"http://orkg.org/orkg/resource/R198944","2016","survey","analysis"
"http://orkg.org/orkg/resource/R198964","2016","case study","analysis"
"http://orkg.org/orkg/resource/R198972","2016","case study","analysis"
"http://orkg.org/orkg/resource/R198979","2016","experiment","analysis"
"http://orkg.org/orkg/resource/R198994","2016","interview","analysis"
"http://orkg.org/orkg/resource/R199014","2015","secondary research","analysis"
"http://orkg.org/orkg/resource/R199028","2015","experiment","analysis"
"http://orkg.org/orkg/resource/R199039","2015","case study","analysis"
"http://orkg.org/orkg/resource/R199113","2015","experiment","analysis"
"http://orkg.org/orkg/resource/R199123","2015","study","analysis"
"http://orkg.org/orkg/resource/R199149","2015","interview","analysis"
