"paper","year","contribution","dc_label","da_label"
"http://orkg.org/orkg/resource/R193406","2020","http://orkg.org/orkg/resource/R193408","interview","analysis"
"http://orkg.org/orkg/resource/R193418","2020","http://orkg.org/orkg/resource/R193420","survey","analysis"
"http://orkg.org/orkg/resource/R193441","2020","http://orkg.org/orkg/resource/R193443","case study","analysis"
"http://orkg.org/orkg/resource/R193473","2020","http://orkg.org/orkg/resource/R193475","pilot study","no analysis"
"http://orkg.org/orkg/resource/R193481","2020","http://orkg.org/orkg/resource/R193483","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R193490","2020","http://orkg.org/orkg/resource/R193492","crowdsourcing study","analysis"
"http://orkg.org/orkg/resource/R193798","2021","http://orkg.org/orkg/resource/R193799","experiment","analysis"
"http://orkg.org/orkg/resource/R193022","2021","http://orkg.org/orkg/resource/R193024","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R193818","2021","http://orkg.org/orkg/resource/R193819","case study","analysis"
"http://orkg.org/orkg/resource/R193828","2021","http://orkg.org/orkg/resource/R193829","secondary research","analysis"
"http://orkg.org/orkg/resource/R193849","2021","http://orkg.org/orkg/resource/R193850","case study","analysis"
"http://orkg.org/orkg/resource/R193866","2021","http://orkg.org/orkg/resource/R193868","secondary research","analysis"
"http://orkg.org/orkg/resource/R193898","2020","http://orkg.org/orkg/resource/R193900","experiment","analysis"
"http://orkg.org/orkg/resource/R193467","2020","http://orkg.org/orkg/resource/R193469","literature review","analysis"
"http://orkg.org/orkg/resource/R193929","2020","http://orkg.org/orkg/resource/R193931","use case","analysis"
"http://orkg.org/orkg/resource/R194054","2020","http://orkg.org/orkg/resource/R194055","focus group","analysis"
"http://orkg.org/orkg/resource/R194054","2020","http://orkg.org/orkg/resource/R194055","preliminary study","analysis"
"http://orkg.org/orkg/resource/R194084","2020","http://orkg.org/orkg/resource/R194085","case study","analysis"
"http://orkg.org/orkg/resource/R194114","2020","http://orkg.org/orkg/resource/R194115","interview","analysis"
"http://orkg.org/orkg/resource/R194139","2020","http://orkg.org/orkg/resource/R194140","questionnaire","analysis"
"http://orkg.org/orkg/resource/R194139","2020","http://orkg.org/orkg/resource/R194140","case study","analysis"
"http://orkg.org/orkg/resource/R194237","2019","http://orkg.org/orkg/resource/R194239","survey","analysis"
"http://orkg.org/orkg/resource/R194253","2019","http://orkg.org/orkg/resource/R194255","archive analysis","analysis"
"http://orkg.org/orkg/resource/R194281","2019","http://orkg.org/orkg/resource/R194283","controlled quasi-experiment","analysis"
"http://orkg.org/orkg/resource/R194317","2019","http://orkg.org/orkg/resource/R194319","experiment","analysis"
"http://orkg.org/orkg/resource/R194345","2019","http://orkg.org/orkg/resource/R194347","use case","analysis"
"http://orkg.org/orkg/resource/R194360","2019","http://orkg.org/orkg/resource/R194362","experiment","analysis"
"http://orkg.org/orkg/resource/R194373","2019","http://orkg.org/orkg/resource/R194375","experiment","analysis"
"http://orkg.org/orkg/resource/R194401","2019","http://orkg.org/orkg/resource/R194403","controlled experiment","analysis"
"http://orkg.org/orkg/resource/R194414","2019","http://orkg.org/orkg/resource/R194416","experiment","analysis"
"http://orkg.org/orkg/resource/R194431","2019","http://orkg.org/orkg/resource/R194432","survey","analysis"
"http://orkg.org/orkg/resource/R194445","2019","http://orkg.org/orkg/resource/R194446","experiment","analysis"
"http://orkg.org/orkg/resource/R194458","2019","http://orkg.org/orkg/resource/R194459","quasi-experiment","analysis"
"http://orkg.org/orkg/resource/R194474","2019","http://orkg.org/orkg/resource/R194475","interview","analysis"
"http://orkg.org/orkg/resource/R193336","2021","http://orkg.org/orkg/resource/R193337","secondary research","analysis"
"http://orkg.org/orkg/resource/R194610","2019","http://orkg.org/orkg/resource/R194611","experiment","analysis"
"http://orkg.org/orkg/resource/R193925","2020","http://orkg.org/orkg/resource/R193926","experiment","analysis"
"http://orkg.org/orkg/resource/R194641","2020","http://orkg.org/orkg/resource/R194642","secondary research","analysis"
"http://orkg.org/orkg/resource/R194686","2018","http://orkg.org/orkg/resource/R194688","interview","analysis"
"http://orkg.org/orkg/resource/R194698","2018","http://orkg.org/orkg/resource/R194700","interview","analysis"
"http://orkg.org/orkg/resource/R194125","2020","http://orkg.org/orkg/resource/R194126","semi-structured interview","analysis"
"http://orkg.org/orkg/resource/R194607","2019","http://orkg.org/orkg/resource/R194608","archive analysis","analysis"
"http://orkg.org/orkg/resource/R194875","2019","http://orkg.org/orkg/resource/R194876","collection","no analysis"
"http://orkg.org/orkg/resource/R194884","2019","http://orkg.org/orkg/resource/R194885","collection","analysis"
"http://orkg.org/orkg/resource/R194905","2019","http://orkg.org/orkg/resource/R194906","collection","no analysis"
"http://orkg.org/orkg/resource/R113160","2018","http://orkg.org/orkg/resource/R194980","collection","analysis"
"http://orkg.org/orkg/resource/R195107","2018","http://orkg.org/orkg/resource/R195108","collection","no analysis"
"http://orkg.org/orkg/resource/R195173","2018","http://orkg.org/orkg/resource/R195174","collection","no analysis"
"http://orkg.org/orkg/resource/R195216","2018","http://orkg.org/orkg/resource/R195217","collection","no analysis"
"http://orkg.org/orkg/resource/R195218","2018","http://orkg.org/orkg/resource/R195220","collection","analysis"
"http://orkg.org/orkg/resource/R195513","2017","http://orkg.org/orkg/resource/R195515","collection","no analysis"
"http://orkg.org/orkg/resource/R195767","2017","http://orkg.org/orkg/resource/R195768","collection","analysis"
"http://orkg.org/orkg/resource/R195982","2017","http://orkg.org/orkg/resource/R195983","collection","analysis"
"http://orkg.org/orkg/resource/R195995","2017","http://orkg.org/orkg/resource/R195996","collection","no analysis"
"http://orkg.org/orkg/resource/R196065","2017","http://orkg.org/orkg/resource/R196066","collection","analysis"
"http://orkg.org/orkg/resource/R198904","2016","http://orkg.org/orkg/resource/R198905","collection","no analysis"
"http://orkg.org/orkg/resource/R194895","2019","http://orkg.org/orkg/resource/R194897","case study","analysis"
"http://orkg.org/orkg/resource/R194922","2018","http://orkg.org/orkg/resource/R194924","experiment","analysis"
"http://orkg.org/orkg/resource/R194932","2018","http://orkg.org/orkg/resource/R194934","experiment","analysis"
"http://orkg.org/orkg/resource/R194954","2018","http://orkg.org/orkg/resource/R194956","interview","analysis"
"http://orkg.org/orkg/resource/R194954","2018","http://orkg.org/orkg/resource/R194956","questionnaire","analysis"
"http://orkg.org/orkg/resource/R195005","2018","http://orkg.org/orkg/resource/R195010","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R195023","2018","http://orkg.org/orkg/resource/R195024","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R195113","2018","http://orkg.org/orkg/resource/R195114","case study","analysis"
"http://orkg.org/orkg/resource/R76818","2018","http://orkg.org/orkg/resource/R195137","experiment","analysis"
"http://orkg.org/orkg/resource/R195144","2018","http://orkg.org/orkg/resource/R195145","interview","analysis"
"http://orkg.org/orkg/resource/R195153","2018","http://orkg.org/orkg/resource/R195154","questionnaire","analysis"
"http://orkg.org/orkg/resource/R195153","2018","http://orkg.org/orkg/resource/R195154","interview","analysis"
"http://orkg.org/orkg/resource/R195153","2018","http://orkg.org/orkg/resource/R195154","observation","analysis"
"http://orkg.org/orkg/resource/R195153","2018","http://orkg.org/orkg/resource/R195154","storyboarding","analysis"
"http://orkg.org/orkg/resource/R195182","2018","http://orkg.org/orkg/resource/R195183","quasi-experiment","analysis"
"http://orkg.org/orkg/resource/R195201","2018","http://orkg.org/orkg/resource/R195202","survey","analysis"
"http://orkg.org/orkg/resource/R195224","2018","http://orkg.org/orkg/resource/R195225","interview","analysis"
"http://orkg.org/orkg/resource/R76792","2017","http://orkg.org/orkg/resource/R195470","archive analysis","analysis"
"http://orkg.org/orkg/resource/R108199","2017","http://orkg.org/orkg/resource/R195486","archive analysis","analysis"
"http://orkg.org/orkg/resource/R113008","2017","http://orkg.org/orkg/resource/R195498","user study","analysis"
"http://orkg.org/orkg/resource/R195519","2017","http://orkg.org/orkg/resource/R195521","interview","analysis"
"http://orkg.org/orkg/resource/R113067","2017","http://orkg.org/orkg/resource/R195534","archive analysis","analysis"
"http://orkg.org/orkg/resource/R195551","2017","http://orkg.org/orkg/resource/R195553","interview","analysis"
"http://orkg.org/orkg/resource/R195551","2017","http://orkg.org/orkg/resource/R195553","online survey","analysis"
"http://orkg.org/orkg/resource/R195578","2017","http://orkg.org/orkg/resource/R195580","semi-structured interviews","analysis"
"http://orkg.org/orkg/resource/R195587","2017","http://orkg.org/orkg/resource/R195588","online survey","analysis"
"http://orkg.org/orkg/resource/R195664","2017","http://orkg.org/orkg/resource/R195665","systeamtic literature review","no analysis"
"http://orkg.org/orkg/resource/R195669","2017","http://orkg.org/orkg/resource/R195671","case study","no analysis"
"http://orkg.org/orkg/resource/R195692","2017","http://orkg.org/orkg/resource/R195693","experiment","no analysis"
"http://orkg.org/orkg/resource/R195713","2017","http://orkg.org/orkg/resource/R195714","experiment","analysis"
"http://orkg.org/orkg/resource/R195728","2017","http://orkg.org/orkg/resource/R195729","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R195728","2017","http://orkg.org/orkg/resource/R195729","questionnaire","analysis"
"http://orkg.org/orkg/resource/R195743","2017","http://orkg.org/orkg/resource/R195744","systematic review","no analysis"
"http://orkg.org/orkg/resource/R195749","2017","http://orkg.org/orkg/resource/R195750","case study","analysis"
"http://orkg.org/orkg/resource/R195789","2017","http://orkg.org/orkg/resource/R195790","controlled experiment","analysis"
"http://orkg.org/orkg/resource/R195806","2017","http://orkg.org/orkg/resource/R195807","contextual interview","no analysis"
"http://orkg.org/orkg/resource/R195857","2017","http://orkg.org/orkg/resource/R195858","online quesionnaire","analysis"
"http://orkg.org/orkg/resource/R195866","2017","http://orkg.org/orkg/resource/R195867","survey","analysis"
"http://orkg.org/orkg/resource/R195679","2017","http://orkg.org/orkg/resource/R195680","survey","analysis"
"http://orkg.org/orkg/resource/R195849","2017","http://orkg.org/orkg/resource/R195850","pilot study","analysis"
"http://orkg.org/orkg/resource/R195986","2017","http://orkg.org/orkg/resource/R195987","controlled experiment","analysis"
"http://orkg.org/orkg/resource/R195998","2017","http://orkg.org/orkg/resource/R195999","experiment","analysis"
"http://orkg.org/orkg/resource/R195998","2017","http://orkg.org/orkg/resource/R195999","case study","analysis"
"http://orkg.org/orkg/resource/R196009","2017","http://orkg.org/orkg/resource/R196010","case study","analysis"
"http://orkg.org/orkg/resource/R196021","2017","http://orkg.org/orkg/resource/R196022","questionnaire","analysis"
"http://orkg.org/orkg/resource/R196021","2017","http://orkg.org/orkg/resource/R196022","quasi-experiment","analysis"
"http://orkg.org/orkg/resource/R196033","2017","http://orkg.org/orkg/resource/R196034","field experiment","analysis"
"http://orkg.org/orkg/resource/R196046","2017","http://orkg.org/orkg/resource/R196047","case study","analysis"
"http://orkg.org/orkg/resource/R196046","2017","http://orkg.org/orkg/resource/R196047","survey","analysis"
"http://orkg.org/orkg/resource/R196070","2017","http://orkg.org/orkg/resource/R196071","semi-structured interview","analysis"
"http://orkg.org/orkg/resource/R195124","2018","http://orkg.org/orkg/resource/R195125","questionnaire","no analysis"
"http://orkg.org/orkg/resource/R195129","2018","http://orkg.org/orkg/resource/R195130","survey","analysis"
"http://orkg.org/orkg/resource/R112434","2017","http://orkg.org/orkg/resource/R195568","secondary research","analysis"
"http://orkg.org/orkg/resource/R194974","2018","http://orkg.org/orkg/resource/R194976","case study","analysis"
"http://orkg.org/orkg/resource/R193920","2020","http://orkg.org/orkg/resource/R193922","secondary research","analysis"
"http://orkg.org/orkg/resource/R197609","2017","http://orkg.org/orkg/resource/R197610","interview","analysis"
"http://orkg.org/orkg/resource/R197609","2017","http://orkg.org/orkg/resource/R197610","focus group","analysis"
"http://orkg.org/orkg/resource/R198663","2016","http://orkg.org/orkg/resource/R198665","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R198673","2016","http://orkg.org/orkg/resource/R198675","experiment","analysis"
"http://orkg.org/orkg/resource/R198689","2016","http://orkg.org/orkg/resource/R198691","focus group","analysis"
"http://orkg.org/orkg/resource/R198689","2016","http://orkg.org/orkg/resource/R198691","interview","analysis"
"http://orkg.org/orkg/resource/R198689","2016","http://orkg.org/orkg/resource/R198691","online survey","analysis"
"http://orkg.org/orkg/resource/R198706","2016","http://orkg.org/orkg/resource/R198708","case study","analysis"
"http://orkg.org/orkg/resource/R198724","2016","http://orkg.org/orkg/resource/R198726","interview","analysis"
"http://orkg.org/orkg/resource/R198797","2016","http://orkg.org/orkg/resource/R198798","semi-structured interview","analysis"
"http://orkg.org/orkg/resource/R111988","2016","http://orkg.org/orkg/resource/R198817","archive analysis","analysis"
"http://orkg.org/orkg/resource/R111988","2016","http://orkg.org/orkg/resource/R198817","experiment","analysis"
"http://orkg.org/orkg/resource/R198833","2016","http://orkg.org/orkg/resource/R198834","systematic literature map","analysis"
"http://orkg.org/orkg/resource/R198856","2016","http://orkg.org/orkg/resource/R198857","interview","analysis"
"http://orkg.org/orkg/resource/R198877","2016","http://orkg.org/orkg/resource/R198878","interview","analysis"
"http://orkg.org/orkg/resource/R74547","2016","http://orkg.org/orkg/resource/R198908","experiment","analysis"
"http://orkg.org/orkg/resource/R198917","2016","http://orkg.org/orkg/resource/R198918","experiment","analysis"
"http://orkg.org/orkg/resource/R78432","2016","http://orkg.org/orkg/resource/R198935","experiment","analysis"
"http://orkg.org/orkg/resource/R198944","2016","http://orkg.org/orkg/resource/R198945","survey","analysis"
"http://orkg.org/orkg/resource/R198964","2016","http://orkg.org/orkg/resource/R198965","case study","no analysis"
"http://orkg.org/orkg/resource/R198972","2016","http://orkg.org/orkg/resource/R198973","case study","analysis"
"http://orkg.org/orkg/resource/R198979","2016","http://orkg.org/orkg/resource/R198980","quasi-experiment","analysis"
"http://orkg.org/orkg/resource/R198994","2016","http://orkg.org/orkg/resource/R198995","semi-structured interview","analysis"
"http://orkg.org/orkg/resource/R199005","2015","http://orkg.org/orkg/resource/R199007","experiment","no analysis"
"http://orkg.org/orkg/resource/R199014","2015","http://orkg.org/orkg/resource/R199016","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R199028","2015","http://orkg.org/orkg/resource/R199030","experiment","analysis"
"http://orkg.org/orkg/resource/R199039","2015","http://orkg.org/orkg/resource/R199041","case study","no analysis"
"http://orkg.org/orkg/resource/R199113","2015","http://orkg.org/orkg/resource/R199115","experiment","analysis"
"http://orkg.org/orkg/resource/R199123","2015","http://orkg.org/orkg/resource/R199125","workshop","analysis"
"http://orkg.org/orkg/resource/R199149","2015","http://orkg.org/orkg/resource/R199151","interview","no analysis"
"http://orkg.org/orkg/resource/R78392","2015","http://orkg.org/orkg/resource/R199165","experiment","analysis"
"http://orkg.org/orkg/resource/R200049","2015","http://orkg.org/orkg/resource/R200050","survey","analysis"
"http://orkg.org/orkg/resource/R200098","2015","http://orkg.org/orkg/resource/R200099","case study","analysis"
"http://orkg.org/orkg/resource/R200106","2015","http://orkg.org/orkg/resource/R200107","survey","analysis"
"http://orkg.org/orkg/resource/R200119","2015","http://orkg.org/orkg/resource/R200120","experiment","analysis"
"http://orkg.org/orkg/resource/R276005","2011","http://orkg.org/orkg/resource/R276006","no collection","no analysis"
"http://orkg.org/orkg/resource/R276059","2011","http://orkg.org/orkg/resource/R276060","no collection","no analysis"
"http://orkg.org/orkg/resource/R280299","2010","http://orkg.org/orkg/resource/R280301","no collection","no analysis"
"http://orkg.org/orkg/resource/R280303","2010","http://orkg.org/orkg/resource/R280304","no collection","no analysis"
"http://orkg.org/orkg/resource/R280308","2010","http://orkg.org/orkg/resource/R280310","no collection","analysis"
"http://orkg.org/orkg/resource/R280317","2010","http://orkg.org/orkg/resource/R280325","no collection","no analysis"
"http://orkg.org/orkg/resource/R280448","2010","http://orkg.org/orkg/resource/R280449","no collection","no analysis"
"http://orkg.org/orkg/resource/R280526","2010","http://orkg.org/orkg/resource/R280527","no collection","no analysis"
"http://orkg.org/orkg/resource/R280754","2009","http://orkg.org/orkg/resource/R280756","no collection","no analysis"
"http://orkg.org/orkg/resource/R280785","2009","http://orkg.org/orkg/resource/R280787","no collection","no analysis"
"http://orkg.org/orkg/resource/R280789","2009","http://orkg.org/orkg/resource/R280791","no collection","no analysis"
"http://orkg.org/orkg/resource/R281210","2009","http://orkg.org/orkg/resource/R281211","no collection","analysis"
"http://orkg.org/orkg/resource/R194425","2019","http://orkg.org/orkg/resource/R194427","no collection","no analysis"
"http://orkg.org/orkg/resource/R194870","2019","http://orkg.org/orkg/resource/R194871","no collection","no analysis"
"http://orkg.org/orkg/resource/R211137","2014","http://orkg.org/orkg/resource/R211139","no collection","no analysis"
"http://orkg.org/orkg/resource/R211177","2014","http://orkg.org/orkg/resource/R211179","no collection","analysis"
"http://orkg.org/orkg/resource/R211279","2014","http://orkg.org/orkg/resource/R211281","no collection","no analysis"
"http://orkg.org/orkg/resource/R220388","2013","http://orkg.org/orkg/resource/R220389","no collection","no analysis"
"http://orkg.org/orkg/resource/R220823","2012","http://orkg.org/orkg/resource/R220825","no collection","no analysis"
"http://orkg.org/orkg/resource/R222372","2012","http://orkg.org/orkg/resource/R222373","no collection","no analysis"
"http://orkg.org/orkg/resource/R228222","2022","http://orkg.org/orkg/resource/R228225","no collection","no analysis"
"http://orkg.org/orkg/resource/R229369","2022","http://orkg.org/orkg/resource/R229370","no collection","no analysis"
"http://orkg.org/orkg/resource/R194428","2019","http://orkg.org/orkg/resource/R194430","archive analysis","analysis"
"http://orkg.org/orkg/resource/R113160","2018","http://orkg.org/orkg/resource/R194980","archive analysis","analysis"
"http://orkg.org/orkg/resource/R113204","2018","http://orkg.org/orkg/resource/R195127","experiment","analysis"
"http://orkg.org/orkg/resource/R195179","2018","http://orkg.org/orkg/resource/R195180","workshop","analysis"
"http://orkg.org/orkg/resource/R195495","2017","http://orkg.org/orkg/resource/R195497","archive analysis","analysis"
"http://orkg.org/orkg/resource/R196014","2017","http://orkg.org/orkg/resource/R196015","use case","analysis"
"http://orkg.org/orkg/resource/R198681","2016","http://orkg.org/orkg/resource/R198683","survey","analysis"
"http://orkg.org/orkg/resource/R198795","2016","http://orkg.org/orkg/resource/R198796","use case","analysis"
"http://orkg.org/orkg/resource/R198808","2016","http://orkg.org/orkg/resource/R198809","experiment","analysis"
"http://orkg.org/orkg/resource/R199023","2015","http://orkg.org/orkg/resource/R199025","elicitation interview","analysis"
"http://orkg.org/orkg/resource/R199136","2015","http://orkg.org/orkg/resource/R199138","archive analysis","analysis"
"http://orkg.org/orkg/resource/R199158","2015","http://orkg.org/orkg/resource/R199159","workshop","analysis"
"http://orkg.org/orkg/resource/R199158","2015","http://orkg.org/orkg/resource/R199159","experiment","analysis"
"http://orkg.org/orkg/resource/R199162","2015","http://orkg.org/orkg/resource/R199163","use case","analysis"
"http://orkg.org/orkg/resource/R200045","2015","http://orkg.org/orkg/resource/R200046","case study","no analysis"
"http://orkg.org/orkg/resource/R200061","2015","http://orkg.org/orkg/resource/R200062","case study","analysis"
"http://orkg.org/orkg/resource/R200042","2015","http://orkg.org/orkg/resource/R200043","case study","analysis"
"http://orkg.org/orkg/resource/R78392","2015","http://orkg.org/orkg/resource/R199165","archive analysis","analysis"
"http://orkg.org/orkg/resource/R194954","2018","http://orkg.org/orkg/resource/R194956","controlled-experiment","analysis"
"http://orkg.org/orkg/resource/R211096","2014","http://orkg.org/orkg/resource/R211098","semi-structured interview","analysis"
"http://orkg.org/orkg/resource/R211106","2014","http://orkg.org/orkg/resource/R211108","interview","analysis"
"http://orkg.org/orkg/resource/R211106","2014","http://orkg.org/orkg/resource/R211108","observation","analysis"
"http://orkg.org/orkg/resource/R211121","2014","http://orkg.org/orkg/resource/R211123","semi-structured phon interview","analysis"
"http://orkg.org/orkg/resource/R211121","2014","http://orkg.org/orkg/resource/R211123","online survey","analysis"
"http://orkg.org/orkg/resource/R211121","2014","http://orkg.org/orkg/resource/R211123","semi-structured phone interview","analysis"
"http://orkg.org/orkg/resource/R211145","2014","http://orkg.org/orkg/resource/R211147","case study","no analysis"
"http://orkg.org/orkg/resource/R211154","2014","http://orkg.org/orkg/resource/R211158","case study","no analysis"
"http://orkg.org/orkg/resource/R211188","2014","http://orkg.org/orkg/resource/R211191","case study","analysis"
"http://orkg.org/orkg/resource/R211198","2014","http://orkg.org/orkg/resource/R211200","case study","analysis"
