"paper","dc_label"
"http://orkg.org/orkg/resource/R195728","survey"
"http://orkg.org/orkg/resource/R195749","case study"
"http://orkg.org/orkg/resource/R195789","experiment"
"http://orkg.org/orkg/resource/R195806","interview"
"http://orkg.org/orkg/resource/R195857","survey"
"http://orkg.org/orkg/resource/R195866","survey"
"http://orkg.org/orkg/resource/R195679","survey"
"http://orkg.org/orkg/resource/R195849","study"
"http://orkg.org/orkg/resource/R195986","experiment"
"http://orkg.org/orkg/resource/R195998","case study"
"http://orkg.org/orkg/resource/R196009","case study"
"http://orkg.org/orkg/resource/R196021","survey"
"http://orkg.org/orkg/resource/R196021","experiment"
"http://orkg.org/orkg/resource/R196033","experiment"
"http://orkg.org/orkg/resource/R196046","case study"
"http://orkg.org/orkg/resource/R196046","survey"
"http://orkg.org/orkg/resource/R196070","interview"
"http://orkg.org/orkg/resource/R195124","survey"
"http://orkg.org/orkg/resource/R195129","survey"
"http://orkg.org/orkg/resource/R112434","secondary research"
"http://orkg.org/orkg/resource/R194974","case study"
"http://orkg.org/orkg/resource/R193920","secondary research"
"http://orkg.org/orkg/resource/R197609","interview"
"http://orkg.org/orkg/resource/R197609","study"
"http://orkg.org/orkg/resource/R198663","secondary research"
"http://orkg.org/orkg/resource/R198673","experiment"
"http://orkg.org/orkg/resource/R198689","study"
"http://orkg.org/orkg/resource/R198689","interview"
"http://orkg.org/orkg/resource/R198689","survey"
"http://orkg.org/orkg/resource/R198706","case study"
"http://orkg.org/orkg/resource/R198724","interview"
"http://orkg.org/orkg/resource/R198797","interview"
"http://orkg.org/orkg/resource/R111988","secondary research"
"http://orkg.org/orkg/resource/R111988","experiment"
"http://orkg.org/orkg/resource/R198833","secondary research"
"http://orkg.org/orkg/resource/R198856","interview"
"http://orkg.org/orkg/resource/R198877","interview"
"http://orkg.org/orkg/resource/R74547","experiment"
"http://orkg.org/orkg/resource/R198917","experiment"
"http://orkg.org/orkg/resource/R78432","experiment"
"http://orkg.org/orkg/resource/R198944","survey"
"http://orkg.org/orkg/resource/R198964","case study"
"http://orkg.org/orkg/resource/R198972","case study"
"http://orkg.org/orkg/resource/R198979","experiment"
"http://orkg.org/orkg/resource/R198994","interview"
"http://orkg.org/orkg/resource/R199014","secondary research"
"http://orkg.org/orkg/resource/R199028","experiment"
"http://orkg.org/orkg/resource/R199039","case study"
"http://orkg.org/orkg/resource/R199113","experiment"
"http://orkg.org/orkg/resource/R199123","study"
"http://orkg.org/orkg/resource/R199149","interview"
"http://orkg.org/orkg/resource/R78392","experiment"
"http://orkg.org/orkg/resource/R200049","survey"
"http://orkg.org/orkg/resource/R200098","case study"
"http://orkg.org/orkg/resource/R200106","survey"
"http://orkg.org/orkg/resource/R200119","experiment"
"http://orkg.org/orkg/resource/R194428","secondary research"
"http://orkg.org/orkg/resource/R113160","secondary research"
"http://orkg.org/orkg/resource/R113204","experiment"
"http://orkg.org/orkg/resource/R195179","study"
"http://orkg.org/orkg/resource/R195495","secondary research"
"http://orkg.org/orkg/resource/R196014","study"
"http://orkg.org/orkg/resource/R198681","survey"
"http://orkg.org/orkg/resource/R198795","study"
"http://orkg.org/orkg/resource/R198808","experiment"
"http://orkg.org/orkg/resource/R199023","interview"
"http://orkg.org/orkg/resource/R199136","secondary research"
"http://orkg.org/orkg/resource/R199158","study"
"http://orkg.org/orkg/resource/R199158","study"
"http://orkg.org/orkg/resource/R199162","study"
"http://orkg.org/orkg/resource/R200045","case study"
"http://orkg.org/orkg/resource/R200061","case study"
"http://orkg.org/orkg/resource/R200042","case study"
"http://orkg.org/orkg/resource/R78392","secondary research"
"http://orkg.org/orkg/resource/R194954","experiment"
"http://orkg.org/orkg/resource/R211096","interview"
"http://orkg.org/orkg/resource/R211106","interview"
"http://orkg.org/orkg/resource/R211106","study"
"http://orkg.org/orkg/resource/R211121","interview"
"http://orkg.org/orkg/resource/R211121","survey"
"http://orkg.org/orkg/resource/R211121","interview"
"http://orkg.org/orkg/resource/R211145","case study"
"http://orkg.org/orkg/resource/R211154","study"
"http://orkg.org/orkg/resource/R211188","case study"
"http://orkg.org/orkg/resource/R211198","case study"
"http://orkg.org/orkg/resource/R211283","case study"
"http://orkg.org/orkg/resource/R211294","experiment"
"http://orkg.org/orkg/resource/R211302","experiment"
"http://orkg.org/orkg/resource/R211302","survey"
"http://orkg.org/orkg/resource/R211327","study"
"http://orkg.org/orkg/resource/R211336","experiment"
"http://orkg.org/orkg/resource/R211351","secondary research"
"http://orkg.org/orkg/resource/R211361","experiment"
"http://orkg.org/orkg/resource/R211370","study"
"http://orkg.org/orkg/resource/R211370","interview"
"http://orkg.org/orkg/resource/R211380","study"
"http://orkg.org/orkg/resource/R211394","interview"
"http://orkg.org/orkg/resource/R211404","case study"
"http://orkg.org/orkg/resource/R211411","study"
"http://orkg.org/orkg/resource/R211411","interview"
"http://orkg.org/orkg/resource/R211428","secondary research"
"http://orkg.org/orkg/resource/R211438","experiment"
"http://orkg.org/orkg/resource/R211438","experiment"
"http://orkg.org/orkg/resource/R211438","experiment"
"http://orkg.org/orkg/resource/R211452","study"
"http://orkg.org/orkg/resource/R211459","experiment"
"http://orkg.org/orkg/resource/R211467","experiment"
"http://orkg.org/orkg/resource/R211474","survey"
"http://orkg.org/orkg/resource/R211485","interview"
"http://orkg.org/orkg/resource/R211485","study"
"http://orkg.org/orkg/resource/R211494","case study"
"http://orkg.org/orkg/resource/R211502","survey"
"http://orkg.org/orkg/resource/R195153","study"
"http://orkg.org/orkg/resource/R220303","secondary research"
"http://orkg.org/orkg/resource/R220314","case study"
"http://orkg.org/orkg/resource/R220323","survey"
"http://orkg.org/orkg/resource/R220343","experiment"
"http://orkg.org/orkg/resource/R220354","experiment"
"http://orkg.org/orkg/resource/R220364","experiment"
"http://orkg.org/orkg/resource/R220371","case study"
"http://orkg.org/orkg/resource/R220378","case study"
"http://orkg.org/orkg/resource/R220383","case study"
"http://orkg.org/orkg/resource/R220390","interview"
"http://orkg.org/orkg/resource/R220538","experiment"
"http://orkg.org/orkg/resource/R220538","experiment"
"http://orkg.org/orkg/resource/R220538","experiment"
"http://orkg.org/orkg/resource/R220538","experiment"
"http://orkg.org/orkg/resource/R220583","secondary research"
"http://orkg.org/orkg/resource/R220605","case study"
"http://orkg.org/orkg/resource/R220611","case study"
"http://orkg.org/orkg/resource/R220618","experiment"
"http://orkg.org/orkg/resource/R220624","study"
"http://orkg.org/orkg/resource/R220629","experiment"
"http://orkg.org/orkg/resource/R220633","secondary research"
"http://orkg.org/orkg/resource/R220633","experiment"
"http://orkg.org/orkg/resource/R220643","interview"
"http://orkg.org/orkg/resource/R220798","interview"
"http://orkg.org/orkg/resource/R220798","study"
"http://orkg.org/orkg/resource/R220810","secondary research"
"http://orkg.org/orkg/resource/R220831","experiment"
"http://orkg.org/orkg/resource/R220838","case study"
"http://orkg.org/orkg/resource/R220845","experiment"
"http://orkg.org/orkg/resource/R220845","survey"
"http://orkg.org/orkg/resource/R220858","interview"
"http://orkg.org/orkg/resource/R220874","case study"
"http://orkg.org/orkg/resource/R220881","experiment"
"http://orkg.org/orkg/resource/R220898","experiment"
"http://orkg.org/orkg/resource/R221137","case study"
"http://orkg.org/orkg/resource/R221147","case study"
"http://orkg.org/orkg/resource/R221156","experiment"
"http://orkg.org/orkg/resource/R221163","experiment"
"http://orkg.org/orkg/resource/R221169","case study"
"http://orkg.org/orkg/resource/R221176","experiment"
"http://orkg.org/orkg/resource/R221183","case study"
"http://orkg.org/orkg/resource/R221187","case study"
"http://orkg.org/orkg/resource/R221801","survey"
"http://orkg.org/orkg/resource/R221801","survey"
"http://orkg.org/orkg/resource/R221801","survey"
"http://orkg.org/orkg/resource/R221821","experiment"
"http://orkg.org/orkg/resource/R221838","experiment"
"http://orkg.org/orkg/resource/R222366","case study"
"http://orkg.org/orkg/resource/R222375","experiment"
"http://orkg.org/orkg/resource/R225574","study"
"http://orkg.org/orkg/resource/R225580","case study"
"http://orkg.org/orkg/resource/R225589","case study"
"http://orkg.org/orkg/resource/R227465","experiment"
"http://orkg.org/orkg/resource/R227482","interview"
"http://orkg.org/orkg/resource/R227501","study"
"http://orkg.org/orkg/resource/R227514","secondary research"
"http://orkg.org/orkg/resource/R227514","experiment"
"http://orkg.org/orkg/resource/R227533","experiment"
"http://orkg.org/orkg/resource/R227551","survey"
"http://orkg.org/orkg/resource/R227551","experiment"
"http://orkg.org/orkg/resource/R228189","survey"
"http://orkg.org/orkg/resource/R228211","experiment"
"http://orkg.org/orkg/resource/R228229","secondary research"
"http://orkg.org/orkg/resource/R228262","secondary research"
"http://orkg.org/orkg/resource/R229273","secondary research"
"http://orkg.org/orkg/resource/R229273","case study"
"http://orkg.org/orkg/resource/R229316","secondary research"
"http://orkg.org/orkg/resource/R229316","experiment"
"http://orkg.org/orkg/resource/R229340","secondary research"
"http://orkg.org/orkg/resource/R229340","interview"
"http://orkg.org/orkg/resource/R229375","secondary research"
"http://orkg.org/orkg/resource/R249016","case study"
"http://orkg.org/orkg/resource/R249021","experiment"
"http://orkg.org/orkg/resource/R249030","case study"
"http://orkg.org/orkg/resource/R254495","interview"
"http://orkg.org/orkg/resource/R254495","survey"
"http://orkg.org/orkg/resource/R254508","interview"
"http://orkg.org/orkg/resource/R254508","study"
"http://orkg.org/orkg/resource/R254508","survey"
"http://orkg.org/orkg/resource/R254521","study"
"http://orkg.org/orkg/resource/R254521","action research"
"http://orkg.org/orkg/resource/R256580","interview"
"http://orkg.org/orkg/resource/R263000","case study"
"http://orkg.org/orkg/resource/R264011","case study"
"http://orkg.org/orkg/resource/R265006","experiment"
"http://orkg.org/orkg/resource/R265019","experiment"
"http://orkg.org/orkg/resource/R276000","secondary research"
"http://orkg.org/orkg/resource/R276009","case study"
"http://orkg.org/orkg/resource/R276015","study"
"http://orkg.org/orkg/resource/R276024","case study"
"http://orkg.org/orkg/resource/R276031","case study"
"http://orkg.org/orkg/resource/R276045","experiment"
"http://orkg.org/orkg/resource/R276051","experiment"
"http://orkg.org/orkg/resource/R279079","experiment"
"http://orkg.org/orkg/resource/R279086","experiment"
"http://orkg.org/orkg/resource/R279109","experiment"
"http://orkg.org/orkg/resource/R279116","study"
"http://orkg.org/orkg/resource/R279116","interview"
"http://orkg.org/orkg/resource/R279126","case study"
"http://orkg.org/orkg/resource/R279136","study"
"http://orkg.org/orkg/resource/R279141","interview"
"http://orkg.org/orkg/resource/R279151","interview"
"http://orkg.org/orkg/resource/R159690","survey"
"http://orkg.org/orkg/resource/R280329","study"
"http://orkg.org/orkg/resource/R280335","survey"
"http://orkg.org/orkg/resource/R280335","interview"
"http://orkg.org/orkg/resource/R280347","survey"
"http://orkg.org/orkg/resource/R280375","case study"
"http://orkg.org/orkg/resource/R280412","case study"
"http://orkg.org/orkg/resource/R280486","study"
"http://orkg.org/orkg/resource/R280481","case study"
"http://orkg.org/orkg/resource/R280498","experiment"
"http://orkg.org/orkg/resource/R280498","experiment"
"http://orkg.org/orkg/resource/R280511","experiment"
"http://orkg.org/orkg/resource/R280511","survey"
"http://orkg.org/orkg/resource/R280521","case study"
"http://orkg.org/orkg/resource/R280529","case study"
"http://orkg.org/orkg/resource/R280738","experiment"
"http://orkg.org/orkg/resource/R280747","secondary research"
"http://orkg.org/orkg/resource/R280758","experiment"
"http://orkg.org/orkg/resource/R280765","experiment"
"http://orkg.org/orkg/resource/R280765","experiment"
"http://orkg.org/orkg/resource/R280793","case study"
"http://orkg.org/orkg/resource/R280798","interview"
"http://orkg.org/orkg/resource/R280798","case study"
"http://orkg.org/orkg/resource/R280811","case study"
"http://orkg.org/orkg/resource/R280818","case study"
"http://orkg.org/orkg/resource/R281162","case study"
"http://orkg.org/orkg/resource/R281166","case study"
"http://orkg.org/orkg/resource/R281172","survey"
"http://orkg.org/orkg/resource/R281188","study"
"http://orkg.org/orkg/resource/R281194","experiment"
"http://orkg.org/orkg/resource/R194093","case study"
"http://orkg.org/orkg/resource/R195982","case study"
"http://orkg.org/orkg/resource/R195218","study"
"http://orkg.org/orkg/resource/R195767","study"
"http://orkg.org/orkg/resource/R194884","experiment"
"http://orkg.org/orkg/resource/R220798","case study"
"http://orkg.org/orkg/resource/R211106","study"
"http://orkg.org/orkg/resource/R211106","study"
"http://orkg.org/orkg/resource/R227482","case study"
"http://orkg.org/orkg/resource/R227482","study"
"http://orkg.org/orkg/resource/R228189","experiment"
"http://orkg.org/orkg/resource/R228229","study"
"http://orkg.org/orkg/resource/R229273","experiment"
"http://orkg.org/orkg/resource/R192398","survey"
"http://orkg.org/orkg/resource/R192398","study"
"http://orkg.org/orkg/resource/R283069","case study"
"http://orkg.org/orkg/resource/R283080","experiment"
"http://orkg.org/orkg/resource/R283098","case study"
"http://orkg.org/orkg/resource/R283106","experiment"
"http://orkg.org/orkg/resource/R283077","case study"
"http://orkg.org/orkg/resource/R193022","case study"
"http://orkg.org/orkg/resource/R193035","study"
"http://orkg.org/orkg/resource/R193035","study"
"http://orkg.org/orkg/resource/R193308","interview"
"http://orkg.org/orkg/resource/R193336","study"
"http://orkg.org/orkg/resource/R193818","study"
"http://orkg.org/orkg/resource/R193849","survey"
"http://orkg.org/orkg/resource/R193849","interview"
"http://orkg.org/orkg/resource/R193371","study"
"http://orkg.org/orkg/resource/R193385","survey"
"http://orkg.org/orkg/resource/R193406","case study"
"http://orkg.org/orkg/resource/R193406","study"
"http://orkg.org/orkg/resource/R193406","survey"
"http://orkg.org/orkg/resource/R193920","study"
"http://orkg.org/orkg/resource/R193920","study"
"http://orkg.org/orkg/resource/R193467","secondary research"
"http://orkg.org/orkg/resource/R193467","study"
"http://orkg.org/orkg/resource/R193490","experiment"
"http://orkg.org/orkg/resource/R285776","experiment"
"http://orkg.org/orkg/resource/R285781","case study"
"http://orkg.org/orkg/resource/R285790","survey"
"http://orkg.org/orkg/resource/R285790","case study"
"http://orkg.org/orkg/resource/R285808","case study"
"http://orkg.org/orkg/resource/R285816","case study"
"http://orkg.org/orkg/resource/R285816","experiment"
"http://orkg.org/orkg/resource/R194054","case study"
"http://orkg.org/orkg/resource/R194054","study"
"http://orkg.org/orkg/resource/R194114","survey"
"http://orkg.org/orkg/resource/R194125","study"
"http://orkg.org/orkg/resource/R194125","case study"
"http://orkg.org/orkg/resource/R194139","secondary research"
"http://orkg.org/orkg/resource/R194139","case study"
"http://orkg.org/orkg/resource/R194641","secondary research"
"http://orkg.org/orkg/resource/R194237","study"
"http://orkg.org/orkg/resource/R194686","case study"
"http://orkg.org/orkg/resource/R194698","experiment"
"http://orkg.org/orkg/resource/R194922","experiment"
"http://orkg.org/orkg/resource/R194954","secondary research"
"http://orkg.org/orkg/resource/R194974","secondary research"
"http://orkg.org/orkg/resource/R195005","survey"
"http://orkg.org/orkg/resource/R195113","study"
"http://orkg.org/orkg/resource/R195129","secondary research"
"http://orkg.org/orkg/resource/R287812","case study"
"http://orkg.org/orkg/resource/R287812","survey"
"http://orkg.org/orkg/resource/R287825","interview"
"http://orkg.org/orkg/resource/R287836","experiment"
"http://orkg.org/orkg/resource/R287845","secondary research"
"http://orkg.org/orkg/resource/R287851","case study"
"http://orkg.org/orkg/resource/R287863","study"
"http://orkg.org/orkg/resource/R195144","study"
"http://orkg.org/orkg/resource/R195144","study"
"http://orkg.org/orkg/resource/R195201","experiment"
"http://orkg.org/orkg/resource/R195201","study"
"http://orkg.org/orkg/resource/R195224","case study"
"http://orkg.org/orkg/resource/R195224","interview"
"http://orkg.org/orkg/resource/R195551","case study"
"http://orkg.org/orkg/resource/R195551","study"
"http://orkg.org/orkg/resource/R195578","study"
"http://orkg.org/orkg/resource/R195578","study"
"http://orkg.org/orkg/resource/R195587","secondary research"
"http://orkg.org/orkg/resource/R195587","study"
"http://orkg.org/orkg/resource/R195669","case study"
"http://orkg.org/orkg/resource/R195679","study"
"http://orkg.org/orkg/resource/R195679","experiment"
"http://orkg.org/orkg/resource/R195749","interview"
"http://orkg.org/orkg/resource/R195789","survey"
"http://orkg.org/orkg/resource/R195806","study"
"http://orkg.org/orkg/resource/R195849","experiment"
"http://orkg.org/orkg/resource/R195849","survey"
"http://orkg.org/orkg/resource/R195857","case study"
"http://orkg.org/orkg/resource/R195866","case study"
"http://orkg.org/orkg/resource/R195998","experiment"
"http://orkg.org/orkg/resource/R196009","action research"
"http://orkg.org/orkg/resource/R196021","study"
"http://orkg.org/orkg/resource/R196033","survey"
"http://orkg.org/orkg/resource/R196065","study"
"http://orkg.org/orkg/resource/R196070","study"
"http://orkg.org/orkg/resource/R196070","secondary research"
"http://orkg.org/orkg/resource/R196070","study"
"http://orkg.org/orkg/resource/R196070","study"
"http://orkg.org/orkg/resource/R196070","study"
"http://orkg.org/orkg/resource/R196070","study"
"http://orkg.org/orkg/resource/R197609","case study"
"http://orkg.org/orkg/resource/R197609","study"
"http://orkg.org/orkg/resource/R197609","study"
"http://orkg.org/orkg/resource/R108199","experiment"
"http://orkg.org/orkg/resource/R113008","survey"
"http://orkg.org/orkg/resource/R287873","experiment"
"http://orkg.org/orkg/resource/R288432","experiment"
"http://orkg.org/orkg/resource/R288443","case study"
"http://orkg.org/orkg/resource/R288453","experiment"
"http://orkg.org/orkg/resource/R288460","secondary research"
"http://orkg.org/orkg/resource/R288476","study"
"http://orkg.org/orkg/resource/R288485","study"
"http://orkg.org/orkg/resource/R288494","case study"
"http://orkg.org/orkg/resource/R288507","study"
"http://orkg.org/orkg/resource/R78432","secondary research"
"http://orkg.org/orkg/resource/R198681","secondary research"
"http://orkg.org/orkg/resource/R198681","survey"
"http://orkg.org/orkg/resource/R198689","study"
"http://orkg.org/orkg/resource/R198877","case study"
"http://orkg.org/orkg/resource/R198877","study"
"http://orkg.org/orkg/resource/R198917","study"
"http://orkg.org/orkg/resource/R198944","study"
"http://orkg.org/orkg/resource/R198964","survey"
"http://orkg.org/orkg/resource/R198964","interview"
"http://orkg.org/orkg/resource/R198972","interview"
"http://orkg.org/orkg/resource/R198994","case study"
"http://orkg.org/orkg/resource/R199005","case study"
"http://orkg.org/orkg/resource/R199005","case study"
"http://orkg.org/orkg/resource/R199149","study"
"http://orkg.org/orkg/resource/R200042","study"
"http://orkg.org/orkg/resource/R200049","study"
"http://orkg.org/orkg/resource/R288513","study"
"http://orkg.org/orkg/resource/R200061","survey"
"http://orkg.org/orkg/resource/R288742","survey"
"http://orkg.org/orkg/resource/R288742","interview"
"http://orkg.org/orkg/resource/R288742","secondary research"
"http://orkg.org/orkg/resource/R288742","case study"
"http://orkg.org/orkg/resource/R288766","case study"
"http://orkg.org/orkg/resource/R288764","study"
"http://orkg.org/orkg/resource/R200119","study"
"http://orkg.org/orkg/resource/R288783","case study"
"http://orkg.org/orkg/resource/R200119","interview"
"http://orkg.org/orkg/resource/R288801","case study"
"http://orkg.org/orkg/resource/R211096","case study"
"http://orkg.org/orkg/resource/R211106","case study"
"http://orkg.org/orkg/resource/R211177","secondary research"
"http://orkg.org/orkg/resource/R211198","survey"
"http://orkg.org/orkg/resource/R211361","experiment"
"http://orkg.org/orkg/resource/R211361","experiment"
"http://orkg.org/orkg/resource/R211380","study"
"http://orkg.org/orkg/resource/R211394","study"
"http://orkg.org/orkg/resource/R211411","secondary research"
"http://orkg.org/orkg/resource/R211452","survey"
"http://orkg.org/orkg/resource/R211467","case study"
"http://orkg.org/orkg/resource/R211485","case study"
"http://orkg.org/orkg/resource/R211485","action research"
"http://orkg.org/orkg/resource/R211485","secondary research"
"http://orkg.org/orkg/resource/R211502","study"
"http://orkg.org/orkg/resource/R211502","study"
"http://orkg.org/orkg/resource/R220323","study"
"http://orkg.org/orkg/resource/R220323","study"
"http://orkg.org/orkg/resource/R220390","study"
"http://orkg.org/orkg/resource/R288808","case study"
"http://orkg.org/orkg/resource/R369142","case study"
"http://orkg.org/orkg/resource/R369238","experiment"
"http://orkg.org/orkg/resource/R369339","interview"
"http://orkg.org/orkg/resource/R369339","study"
"http://orkg.org/orkg/resource/R369483","interview"
"http://orkg.org/orkg/resource/R369602","case study"
"http://orkg.org/orkg/resource/R369685","case study"
"http://orkg.org/orkg/resource/R220538","study"
"http://orkg.org/orkg/resource/R220633","interview"
"http://orkg.org/orkg/resource/R220881","study"
"http://orkg.org/orkg/resource/R220881","case study"
"http://orkg.org/orkg/resource/R221801","study"
"http://orkg.org/orkg/resource/R221801","study"
"http://orkg.org/orkg/resource/R221821","study"
"http://orkg.org/orkg/resource/R221821","study"
"http://orkg.org/orkg/resource/R221821","survey"
"http://orkg.org/orkg/resource/R659290","study"
"http://orkg.org/orkg/resource/R659413","case study"
"http://orkg.org/orkg/resource/R659470","case study"
"http://orkg.org/orkg/resource/R597400","experiment"
"http://orkg.org/orkg/resource/R597400","case study"
"http://orkg.org/orkg/resource/R597409","case study"
"http://orkg.org/orkg/resource/R597880","case study"
"http://orkg.org/orkg/resource/R597889","case study"
"http://orkg.org/orkg/resource/R597910","case study"
"http://orkg.org/orkg/resource/R598067","experiment"
"http://orkg.org/orkg/resource/R598223","case study"
"http://orkg.org/orkg/resource/R598230","case study"
"http://orkg.org/orkg/resource/R598230","case study"
"http://orkg.org/orkg/resource/R598230","case study"
"http://orkg.org/orkg/resource/R598274","experiment"
"http://orkg.org/orkg/resource/R598284","experiment"
"http://orkg.org/orkg/resource/R598496","case study"
"http://orkg.org/orkg/resource/R598506","action research"
"http://orkg.org/orkg/resource/R598586","case study"
"http://orkg.org/orkg/resource/R598598","case study"
"http://orkg.org/orkg/resource/R598606","case study"
"http://orkg.org/orkg/resource/R598614","case study"
"http://orkg.org/orkg/resource/R598631","study"
"http://orkg.org/orkg/resource/R598694","secondary research"
"http://orkg.org/orkg/resource/R600479","case study"
"http://orkg.org/orkg/resource/R601221","case study"
"http://orkg.org/orkg/resource/R602865","secondary research"
"http://orkg.org/orkg/resource/R602883","study"
"http://orkg.org/orkg/resource/R603577","case study"
"http://orkg.org/orkg/resource/R603589","case study"
"http://orkg.org/orkg/resource/R603589","survey"
"http://orkg.org/orkg/resource/R603600","study"
"http://orkg.org/orkg/resource/R603600","interview"
"http://orkg.org/orkg/resource/R603600","secondary research"
"http://orkg.org/orkg/resource/R603600","study"
"http://orkg.org/orkg/resource/R605077","study"
"http://orkg.org/orkg/resource/R605419","case study"
"http://orkg.org/orkg/resource/R605866","secondary research"
"http://orkg.org/orkg/resource/R605866","study"
"http://orkg.org/orkg/resource/R605881","case study"
"http://orkg.org/orkg/resource/R606061","study"
"http://orkg.org/orkg/resource/R606061","study"
"http://orkg.org/orkg/resource/R606061","study"
"http://orkg.org/orkg/resource/R606148","case study"
"http://orkg.org/orkg/resource/R606247","study"
"http://orkg.org/orkg/resource/R606260","experiment"
"http://orkg.org/orkg/resource/R606293","study"
"http://orkg.org/orkg/resource/R606302","study"
"http://orkg.org/orkg/resource/R606309","case study"
"http://orkg.org/orkg/resource/R606569","study"
"http://orkg.org/orkg/resource/R606576","case study"
"http://orkg.org/orkg/resource/R606839","case study"
"http://orkg.org/orkg/resource/R606860","study"
"http://orkg.org/orkg/resource/R606868","experiment"
"http://orkg.org/orkg/resource/R606868","survey"
"http://orkg.org/orkg/resource/R606919","case study"
"http://orkg.org/orkg/resource/R606928","case study"
"http://orkg.org/orkg/resource/R606978","case study"
"http://orkg.org/orkg/resource/R606978","secondary research"
"http://orkg.org/orkg/resource/R606978","interview"
"http://orkg.org/orkg/resource/R606978","study"
"http://orkg.org/orkg/resource/R607051","case study"
